nohup: 忽略输入
152974 356940
train num_classes 625
test num_classes 625

Epoch : 1
[progress:25.8%]time:8.19s Loss:0.64968 Correct:77682/92160 Acc:84.290%
[progress:28.7%]time:8.26s Loss:0.70302 Correct:86289/102400 Acc:84.267%
[progress:31.5%]time:8.13s Loss:0.68588 Correct:94911/112640 Acc:84.260%
[progress:34.4%]time:8.19s Loss:0.67263 Correct:103587/122880 Acc:84.299%
[progress:37.2%]time:8.20s Loss:0.66036 Correct:112258/133120 Acc:84.328%
[progress:40.1%]time:8.21s Loss:0.67125 Correct:120927/143360 Acc:84.352%
[progress:43.0%]time:8.16s Loss:0.63928 Correct:129667/153600 Acc:84.419%
[progress:45.8%]time:8.22s Loss:0.63750 Correct:138399/163840 Acc:84.472%
[progress:48.7%]time:8.18s Loss:0.63021 Correct:147165/174080 Acc:84.539%
[progress:51.6%]time:8.18s Loss:0.64114 Correct:155887/184320 Acc:84.574%
[progress:54.4%]time:8.19s Loss:0.67460 Correct:164546/194560 Acc:84.573%
[progress:57.3%]time:8.20s Loss:0.66859 Correct:173221/204800 Acc:84.581%
[progress:60.2%]time:8.24s Loss:0.66846 Correct:181897/215040 Acc:84.588%
[progress:63.0%]time:8.16s Loss:0.64855 Correct:190588/225280 Acc:84.600%
[progress:65.9%]time:8.19s Loss:0.64026 Correct:199306/235520 Acc:84.624%
[progress:68.8%]time:8.22s Loss:0.64968 Correct:208004/245760 Acc:84.637%
[progress:71.6%]time:8.14s Loss:0.61932 Correct:216817/256000 Acc:84.694%
[progress:74.5%]time:8.19s Loss:0.64094 Correct:225588/266240 Acc:84.731%
[progress:77.4%]time:8.25s Loss:0.64758 Correct:234344/276480 Acc:84.760%
[progress:80.2%]time:8.14s Loss:0.64935 Correct:243030/286720 Acc:84.762%
[progress:83.1%]time:8.19s Loss:0.65750 Correct:251711/296960 Acc:84.763%
[progress:86.0%]time:8.21s Loss:0.65460 Correct:260394/307200 Acc:84.764%
[progress:88.8%]time:8.24s Loss:0.63828 Correct:269147/317440 Acc:84.787%
[progress:91.7%]time:8.13s Loss:0.67147 Correct:277830/327680 Acc:84.787%
[progress:94.6%]time:8.22s Loss:0.62836 Correct:286560/337920 Acc:84.801%
[progress:97.4%]time:8.18s Loss:0.61457 Correct:295360/348160 Acc:84.835%
Testing ...
